Name,TotalChurchMembership,Stakes,Congregations,Wards,Branches,FamilySearchCenters,Temples,Missions,Districts
Antigua and Barbuda,342,0,1,0,1,1,0,0,0
Aruba,661,0,2,0,2,2,0,0,0
Bahamas,1095,0,3,0,3,1,0,0,0
Barbados,1205,0,3,0,3,1,0,1,1
Belize,5688,0,12,0,12,4,0,0,0
Canada,205907,53,502,356,146,155,9,6,3
Cayman Islands,255,0,1,0,1,0,0,0,0
Costa Rica,55678,10,80,60,20,29,1,2,1
Curacao,602,0,1,0,1,1,0,0,0
Dominica,173,0,1,0,1,0,0,0,0
Dominican Republic,153000,22,202,145,57,59,1,4,9
El Salvador,131016,22,154,126,28,52,1,3,0
Grenada,406,0,1,0,1,0,0,0,0
Guadeloupe,585,0,3,0,3,1,0,0,0
Guatemala,292639,51,437,293,144,144,3,7,11
Haiti,25793,5,50,31,19,14,1,1,4
Honduras,190310,31,244,179,65,85,2,4,5
Jamaica,6871,1,18,6,12,8,0,1,1
Martinique,273,0,1,0,1,1,0,0,0
Mexico,1534058,230,1878,1396,482,583,14,34,43
Nicaragua,103732,12,109,71,38,38,0,2,4
Panama,62946,7,77,46,31,27,1,1,4
Puerto Rico,23454,5,38,27,11,13,1,1,1
Saint Kitts and Nevis,244,0,1,0,1,1,0,0,0
Saint Lucia,420,0,2,0,2,2,0,0,0
Saint Vincent,728,0,3,0,3,1,0,0,0
Sint Maarten,289,0,1,0,1,0,0,0,0
Trinidad and Tobago,3497,1,10,5,5,2,0,0,0
United States,6929956,1709,14578,12766,1812,1880,97,120,10
Virgin Islands,633,0,2,0,2,0,0,0,0
Argentina,491160,80,732,501,231,194,4,14,25
Bolivia,229006,33,285,213,72,72,1,6,8
Brazil,1525436,287,2096,1719,377,578,11,37,38
Chile,613054,79,575,446,129,139,2,11,10
Colombia,217514,31,260,175,85,72,2,5,10
Ecuador,269200,44,334,276,58,73,2,7,5
French Guiana,508,0,1,0,1,1,0,0,0
Guyana,7033,0,12,0,12,4,0,1,2
Paraguay,102395,11,135,63,72,23,1,2,9
Peru,648045,115,797,672,125,207,4,15,18
Suriname,1887,0,6,0,6,3,0,0,0
Uruguay,109905,18,130,98,32,32,1,2,2
Venezuela,177309,33,235,177,58,61,1,4,6
Albania,3317,1,14,6,8,4,0,1,1
Andorra,0,0,0,0,0,0,0,0,0
Armenia,3625,0,8,0,8,4,0,1,1
Austria,4678,2,17,14,3,12,0,0,0
Belgium,6713,2,12,10,2,8,0,0,0
Bosnia and Herzegovina,86,0,1,0,1,0,0,0,0
Bulgaria,2412,0,7,0,7,4,0,1,1
Croatia,656,0,6,0,6,4,0,1,1
Cyprus,634,0,5,0,5,4,0,0,0
Czech Republic,2719,1,12,7,5,2,0,1,0
Denmark,4393,2,21,13,8,13,1,1,0
Estonia,1122,0,4,0,4,2,0,0,0
Finland,4940,3,29,18,11,29,1,1,0
France,39797,10,109,70,39,71,1,2,0
Georgia,313,0,2,0,2,1,0,0,0
Germany,40398,14,148,99,49,98,2,4,0
Greece,807,0,2,0,2,2,0,0,0
Guernsey,61,0,1,0,1,1,0,0,0
Hungary,5255,1,21,5,16,13,0,1,2
Iceland,404,0,4,0,4,1,0,0,0
Ireland,4212,1,12,6,6,3,0,0,0
Isle of Man,294,0,1,1,0,0,0,0,0
Italy,29154,10,93,62,31,57,1,2,0
Jersey,270,0,1,1,0,1,0,0,0
Latvia,1274,0,5,0,5,3,0,1,1
Lithuania,952,0,5,0,5,4,0,0,0
Luxembourg,522,0,2,2,0,1,0,0,0
Malta,263,0,1,0,1,1,0,0,0
Moldova,457,0,2,0,2,1,0,0,0
Montenegro,34,0,1,0,1,1,0,0,0
Netherlands,9117,3,24,19,5,9,1,1,0
Norway,4521,2,19,10,9,16,0,1,0
Poland,2249,0,11,0,11,7,0,1,1
Portugal,48840,7,64,43,21,24,1,2,1
Romania,3029,0,15,0,15,3,0,1,1
Russia,18132,3,56,14,42,0,0,3,3
Serbia,374,0,3,0,3,2,0,0,0
Slovakia,332,0,4,0,4,1,0,0,0
Slovenia,456,0,2,0,2,1,0,0,0
Spain,68486,15,138,94,44,57,1,3,1
Sweden,9489,4,40,25,15,38,1,1,1
Switzerland,9237,5,34,26,8,13,1,0,0
Turkey,698,0,7,0,7,0,0,0,0
Ukraine,9903,2,42,11,31,35,1,2,3
United Kingdom,186418,41,303,259,44,122,2,6,0
Bahrain,276,1,1,1,0,0,0,0,0
Cambodia,17365,2,31,10,21,12,0,2,4
China,0,0,0,0,0,0,0,0,0
Hong Kong,24496,4,27,21,6,8,1,1,1
India,15454,4,45,21,24,20,0,2,3
Indonesia,7702,2,24,16,8,12,0,1,1
Israel,310,0,3,0,3,0,0,0,0
Japan,129622,22,230,142,88,63,4,7,10
Kazakhstan,242,0,3,0,3,1,0,0,0
Kuwait,361,0,1,1,0,0,0,0,0
Macau,1445,0,2,0,2,1,0,0,0
Malaysia,11341,0,24,0,24,9,0,0,0
Mongolia,12624,2,24,12,12,10,0,1,1
Philippines,882461,131,1324,827,497,192,3,26,56
Singapore,3227,1,6,6,0,1,0,1,0
South Korea,88576,12,99,60,39,23,1,3,5
Sri Lanka,1709,0,4,0,4,3,0,0,0
Taiwan,62772,16,97,87,10,16,1,2,0
Thailand,24301,4,43,21,22,29,1,2,2
United Arab Emirates,1810,1,6,5,1,1,0,0,0
American Samoa,16900,5,43,38,5,6,0,0,0
Australia,158969,40,296,229,67,143,5,5,4
Cook Islands,1912,0,5,0,5,3,0,0,0
Fiji,24358,4,52,26,26,11,1,1,2
French Polynesia,30022,11,94,74,20,30,1,1,0
