Name,TotalChurchMembership,Stakes,Congregations,Wards,Branches,FamilySearchCenters,Temples,Missions,Districts
Alabama,41252,8,75,47,28,0,1,1,0
Alaska,33574,9,82,59,23,0,1,1,0
Arizona,442094,120,892,806,86,0,6,6,3
Arkansas,38035,8,79,55,24,0,1,2,0
California,725648,145,1085,946,139,0,8,16,0
Colorado,148945,36,315,279,36,0,3,4,0
Connecticut,16442,3,31,25,6,0,1,0,0
Delaware,6018,2,10,9,1,0,0,0,0
District of Columbia,3648,0,4,4,0,0,0,0,0
Florida,178456,33,287,227,60,0,3,5,0
Georgia,92581,19,163,135,28,0,1,2,0
Idaho,482905,147,1323,1275,48,0,6,3,0
Illinois,58832,12,121,90,31,0,2,1,0
Indiana,48878,13,102,80,22,0,1,1,0
Iowa,29981,8,69,44,25,0,0,1,0
Kansas,39838,8,75,60,15,0,0,1,0
Kentucky,39792,8,83,51,32,0,1,1,0
Louisiana,29913,7,52,32,20,0,1,1,0
Maine,11275,3,26,17,9,0,0,0,0
Maryland,44671,10,84,65,19,0,1,2,0
Massachusetts,29541,7,56,42,14,0,1,1,0
Michigan,47105,10,100,61,39,0,1,2,1
Minnesota,34002,8,77,56,21,0,1,1,0
Mississippi,22000,4,49,30,19,0,0,0,0
Missouri,84311,22,181,153,28,0,2,2,0
Montana,52050,14,140,97,43,0,2,2,0
Nebraska,26199,5,57,42,15,0,1,1,0
Nevada,181842,43,339,304,35,0,3,4,0
New Hampshire,8575,3,18,14,4,0,0,1,0
New Jersey,36632,6,61,42,19,0,0,1,0
New Mexico,68699,14,137,104,33,0,2,2,0
New York,92133,17,144,96,48,0,2,2,1
North Carolina,98483,20,192,145,47,0,1,2,0
North Dakota,11807,3,27,20,7,0,1,1,0
Ohio,65991,15,132,99,33,0,1,2,0
Oklahoma,53890,13,98,80,18,0,1,1,0
Oregon,148062,34,278,233,45,0,2,3,0
Pennsylvania,54354,13,105,75,30,0,2,2,0
Rhode Island,5025,1,9,8,1,0,0,0,0
South Carolina,46753,11,89,71,18,0,1,2,0
South Dakota,12064,2,31,14,17,0,0,0,0
Tennessee,61991,14,121,93,28,0,2,2,0
Texas,395964,83,756,633,123,0,5,12,1
Utah,2206370,647,5365,5046,319,0,24,13,7
Vermont,4685,1,9,7,2,0,0,0,0
Virginia,99973,25,212,177,35,0,1,2,0
Washington,278576,62,473,425,48,0,4,7,0
West Virginia,17663,4,39,25,14,0,0,1,0
Wisconsin,28950,6,69,49,20,0,0,1,0
Wyoming,66665,19,173,143,30,0,2,0,0
Hawaii,75827,17,146,131,15,0,2,2,0
