###,Temple,Dedicated,Square-feet,Height (feet),Rededicated?,Num_Spires,Spire_Attached,Angel_Moroni,Instruction_Rooms,Sealing_Rooms,Baptismal_Fonts,Square_Footage,Acreage
004,salt lake temple,06 Apr 1893,"382,207",210,,6,Attached,Yes,5,21,2,"382,207",10
010,los angeles california temple,11 Mar 1956,"190,614",257,,1,Attached,Yes,4,10,1,"190,614",13
016,washington dc temple,19 Nov 1974,"156,558",288,Yes,6,Attached,Yes,6,10,1,"156,558",52
020,jordan river utah temple,16 Nov 1981,"149,476",219,Yes,1,Attached,Yes,6,16,1,"148,236",15
001,st george utah temple,06 Apr 1877,"143,969",175,Yes (x3),1,Attached,No,3,17,1,"143,969",6.5
015,provo utah rock canyon temple,09 Feb 1972,"130,825",150,,1,Attached,No,-,-,-,-,-
026,mexico city mexico temple,02 Dec 1983,"116,642",152,Yes,1,Attached,Yes,4,11,1,"116,642",7
002,logan utah temple,17 May 1884,"115,507",170,Yes,2,Attached,No,4,11,1,"119,619",9
007,mesa arizona temple,23 Oct 1927,"113,916",50,Yes,0,None,No,4,6,1,"75,000",20
014,ogden utah temple,18 Jan 1972,"112,132",189,Yes,1,Attached,Yes,6,9,1,"112,232",9.96
019,seattle washington temple,17 Nov 1980,"110,000",179,,1,Attached,Yes,4,13,1,"110,000",23.5
047,bountiful utah temple,08 Jan 1995,"104,000",176,,1,Attached,Yes,4,8,1,"104,000",9
049,mount timpanogos utah temple,13 Oct 1996,"107,240",190,,1,Attached,Yes,4,8,1,"107,240",16.7
179,saratoga springs utah temple,13 Aug 2023,"97,836",200,,1,Attached,Yes,4,6,1,"97,836",22.71
146,payson utah temple,07 Jun 2015,"96,360",208,,1,Attached,Yes,3,7,1,"96,630",10.63
189,red cliffs utah temple,24 Mar 2024,"96,277",230,,1,Attached,Yes,4,6,1,"96,277",15.31
195,layton utah temple,16 Jun 2024,"93,539",215,,2,Attached,Yes,4,6,1,"93,539",11.8
